income,life_exp,population,year,country,four_regions,six_regions,eight_regions,world_bank_region
4840,74.3,5820000,2010,Nicaragua,americas,america,america_north,Latin America & Caribbean
1020,59.3,16500000,2010,Niger,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
5060,60.2,159000000,2010,Nigeria,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
2020,71.2,24500000,2010,North Korea,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
13800,73.7,2070000,2010,North Macedonia,,,,
61400,81.3,4890000,2010,Norway,europe,europe_central_asia,europe_west,Europe & Central Asia
32500,70.8,3040000,2010,Oman,asia,middle_east_north_africa,asia_west,Middle East & North Africa
3930,63.6,179000000,2010,Pakistan,asia,south_asia,asia_west,South Asia
16300,67,18000,2010,Palau,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
5780,73.7,4060000,2010,Palestine,asia,middle_east_north_africa,asia_west,Middle East & North Africa
23400,78.7,3640000,2010,Panama,americas,america,america_north,Latin America & Caribbean
3370,63,7310000,2010,Papua New Guinea,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
10700,76,6250000,2010,Paraguay,americas,america,america_south,Latin America & Caribbean
10600,77.7,29000000,2010,Peru,americas,america,america_south,Latin America & Caribbean
6040,70.7,94000000,2010,Philippines,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
25200,76.8,38300000,2010,Poland,europe,europe_central_asia,europe_west,Europe & Central Asia
31400,80.5,10600000,2010,Portugal,europe,europe_central_asia,europe_west,Europe & Central Asia
99100,73.9,1860000,2010,Qatar,asia,middle_east_north_africa,asia_west,Middle East & North Africa
20900,74.6,20500000,2010,Romania,europe,europe_central_asia,europe_east,Europe & Central Asia
25000,70,143000000,2010,Russia,europe,europe_central_asia,europe_east,Europe & Central Asia
1590,65.3,10000000,2010,Rwanda,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
6210,69.7,186000,2010,Samoa,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
64700,81.9,31200,2010,San Marino,europe,europe_central_asia,europe_west,Europe & Central Asia
3430,69.3,180000,2010,Sao Tome and Principe,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
47000,72.2,27400000,2010,Saudi Arabia,asia,middle_east_north_africa,asia_west,Middle East & North Africa
2710,66,12700000,2010,Senegal,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
15000,74.3,8990000,2010,Serbia,europe,europe_central_asia,europe_east,Europe & Central Asia
23200,73.4,91300,2010,Seychelles,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
1470,56.6,6420000,2010,Sierra Leone,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
81400,83.1,5130000,2010,Singapore,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
26200,76,5400000,2010,Slovak Republic,europe,europe_central_asia,europe_east,Europe & Central Asia
33700,80,2040000,2010,Slovenia,europe,europe_central_asia,europe_east,Europe & Central Asia
2550,57.6,528000,2010,Solomon Islands,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
686,54.3,12000000,2010,Somalia,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
12700,58.7,51200000,2010,South Africa,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
35500,81.2,49500000,2010,South Korea,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
4140,60.5,9510000,2010,South Sudan,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
37000,82.3,46900000,2010,Spain,europe,europe_central_asia,europe_west,Europe & Central Asia
9830,75.3,20300000,2010,Sri Lanka,asia,south_asia,asia_west,South Asia
23900,72.3,49000,2010,St. Kitts and Nevis,americas,america,america_north,Latin America & Caribbean
14800,76,174000,2010,St. Lucia,americas,america,america_north,Latin America & Caribbean
11400,73.2,108000,2010,St. Vincent and the Grenadines,americas,america,america_north,Latin America & Caribbean
3650,67.6,34500000,2010,Sudan,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
17700,72.8,529000,2010,Suriname,americas,america,america_south,Latin America & Caribbean
49100,82,9390000,2010,Sweden,europe,europe_central_asia,europe_west,Europe & Central Asia
64600,83,7810000,2010,Switzerland,europe,europe_central_asia,europe_west,Europe & Central Asia
6880,72.8,21400000,2010,Syria,asia,middle_east_north_africa,asia_west,Middle East & North Africa
44400,79.5,,2010,Taiwan,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
2370,68.1,7530000,2010,Tajikistan,asia,europe_central_asia,asia_west,Europe & Central Asia
2100,61.7,44300000,2010,Tanzania,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
14500,77.4,67200000,2010,Thailand,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
3050,70.2,1090000,2010,Timor-Leste,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
1270,60.2,6420000,2010,Togo,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
5550,72.3,104000,2010,Tonga,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
28700,74.5,1330000,2010,Trinidad and Tobago,americas,america,america_north,Latin America & Caribbean
9820,76.2,10600000,2010,Tunisia,africa,middle_east_north_africa,africa_north,Middle East & North Africa
22000,76.8,72300000,2010,Turkey,europe,europe_central_asia,europe_east,Europe & Central Asia
9720,69.6,5090000,2010,Turkmenistan,asia,europe_central_asia,asia_west,Europe & Central Asia
3490,66.8,10500,2010,Tuvalu,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
1970,60.4,32400000,2010,Uganda,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
12500,71.5,45800000,2010,Ukraine,europe,europe_central_asia,europe_east,Europe & Central Asia
56100,71,8550000,2010,United Arab Emirates,asia,middle_east_north_africa,asia_west,Middle East & North Africa
42500,80.8,63500000,2010,United Kingdom,europe,europe_central_asia,europe_west,Europe & Central Asia
54800,78.9,309000000,2010,United States,americas,america,america_north,North America
18600,76.4,3360000,2010,Uruguay,americas,america,america_south,Latin America & Caribbean
4880,66.6,28500000,2010,Uzbekistan,asia,europe_central_asia,asia_west,Europe & Central Asia
3190,64.5,236000,2010,Vanuatu,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
20400,75.4,28400000,2010,Venezuela,americas,america,america_south,Latin America & Caribbean
5350,73.3,88000000,2010,Vietnam,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
4700,67.8,23200000,2010,Yemen,asia,middle_east_north_africa,asia_west,Middle East & North Africa
3200,57.5,13600000,2010,Zambia,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
2560,54.4,12700000,2010,Zimbabwe,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
